Название тура,Регион,Сезон,Кол-во туристов,Длительность,Цена,Оценка
Кавказские горы: экотуризм и медицинские маршруты,Краснодарский край,Зима,9,7,268226.99999999994,4
Невская улица: гастрономический тур по Санкт-Петербургу,Санкт-Петербург,Зима,11,18,694496.0,4
"4 столицы: Нижний Новгород, Чебоксары, Йошкар-Ола, Казань",Татарстан,Осень,9,12,398015.99999999994,4
Кавказ стал ближе,Кавказ,Осень,12,5,313440.0,5
Восхождение на Белуху за 10 дней,Алтай,Лето,5,5,136450.0,5
"4 столицы: Нижний Новгород, Чебоксары, Йошкар-Ола, Казань",Татарстан,Весна,12,18,716160.0,4
Путешествие в древность. Тур в Ульяновскую область,Ульяновская область,Осень,12,4,250944.0,4
Жигулёвские выходные. Национальный туристский маршрут по Самарской области,Самара,Лето,1,17,59742.0,5
Другая Осетия. Джип-тур в Северную Осетию,Северная Осетия,Зима,8,9,310256.0,3
Сибирские просторы: экскурсия по Красноярскому краю,Красноярский край,Лето,13,8,517296.0,3
Байкал: активный тур на круглый год,Байкал,Весна,2,8,77600.0,4
Пробуждение природы в Санкт-Петербурге,Санкт-Петербург,Весна,8,7,241280.0,1
Калмыкия на 100%,Калмыкия,Весна,5,15,284000.0,5
Город-герой: исторические маршруты в Новороссийске ,Краснодарский край,Осень,11,11,455092.0,2
Зимние кочевники Байкала,Байкал,Зима,8,13,463760.0,2
Тайны Урала: золотое кольцо Урала,Свердловская область,Зима,10,16,552640.0,4
Камчатка: природа и активные виды отдыха,Камчатка,Лето,12,10,662640.0,3
Кочевники Байкала,Байкал,Лето,13,9,596830.0,5
Кочевники Байкала,Байкал,Лето,12,15,838200.0,2
Золотое кольцо России: традиции и ремесла,Золотое кольцо,Лето,8,14,407712.00000000006,4
Зима в Карелии 3 дня,Карелия,Зима,12,7,388632.0,5
Тайга и народные традиции Сибири,Алтай,Осень,2,9,78032.0,5
